T1	ทวีปอะไรใหญ่ที่สุดในโลก	ทวีปเอเชีย	เอเชีย
T24	เมืองอะไรมีพลเมืองมากที่สุด	เมืองโตเกียว ประเทศญี่ปุ่น	โตเกียว
T25	ประเทศอะไรมีพลเมืองน้อยที่สุด	นครรัฐวาติกัน	วาติกัน
T26	ประเทศอะไรมีเกาะมากที่สุด	ประเทศฟิลิปปินส์	ฟิลิปปินส์
T27	ประเทศอะไรมีทะเลสาบมากที่สุด	ประเทศฟินแลนด์	ฟินแลนด์
T28	ประเทศอะไรมีภูเขาไฟมากที่สุด	ประเทศอินโดนีเซีย	อินโดนีเซีย
T29	ประเทศอะไรอยู่สูงที่สุดในโลก	ประเทศทิเบต	ทิเบต
T30	ประเทศอะไรมีแผ่นดินไหวบ่อยที่สุดในโลก	ประเทศญี่ปุ่น	ญี่ปุ่น
T31	แม่น้ำปิง วัง ยม น่าน ไหลมารวมกันที่จังหวัดใด	นครสวรรค์	นครสวรรค์|คอน,หวัน
T32	แม่น้ำเจ้าพระยาไหลออกสู่อ่าวไทยที่จังหวัดใด	สมุทรปราการ	สมุทรปราการ
T33	แม่น้ำที่กั้นระหว่างประเทศไทยกับลาวคือแม่น้ำอะไร	แม่น้ำโขง	แม่น้ำโขง|โขง
T34	ฝนแปดแดดสี่เป็นคำอธิบายถึงฤดูกาลของภาคใด	ภาคใต้	ภาคใต้|ใต้
T35	ปลาอะไรได้สมญาว่าราชินีแห่งแม่น้ำโขง	ปลาบึก	ปลาบึก
T36	ประชาคมเศรษฐกิจอาเซียนหรือเออีซีมีกี่ประเทศ	สิบ	สิบ
T37	ประเทศใดมีขนาดเล็กที่สุดในอาเซียน	สิงคโปร์	สิงคโปร์|Singapore
T38	ประเทศใดมีขนาดใหญ่ที่สุดในอาเซียน	อินโดนีเซีย	อินโด|อินโดนีเซีย|Indonesia
T39	ธงชาติของอังกฤษมีกี่สี	สาม	สาม
T40	ธงชาติของฝรั่งเศสกับอิตาลีต่างกันที่สีอะไร	น้ำเงินและเขียว	น้ำเงินและเขียว|น้ำเงิน|เขียว|น้ำเงินกับเขียว
T41	ธงชาติของสหรัฐอเมริกามีดาวกี่ดวง	ห้าสิบดวง เท่าจำนวนรัฐ	ห้าสิบ
T42	สกุลเงินของญี่ปุ่นคืออะไร	เยน	เยน|เย็น|Yen
T43	ไก่ชนเป็นตัวผู้หรือตัวเมีย	ตัวผู้	ตัวผู้
T44	แมลงสาบมีกี่ขา	หกขา	หก
T45	ประธานาธิบดีผิวดำคนแรกของสหรัฐอเมริกาคือใคร	บารัค โอบามา	โอบามา|บารัค โอบามา|โอ,บา,ม่า
T46	ธนาคารแห่งแรกของประเทศไทยชื่ออะไร	สยามกัมมาจล ปัจจุบันคือธนาคารไทยพาณิชย์	สยามกัมมาจล|ไทยพาณิชย์
T47	ราชวงศ์สุดท้ายของกรุงศรีอยุธยาคือราชวงศ์ใด	ราชวงศ์บ้านพลูหลวง		บ้านพลูหลวง
T48	เรือไททานิคออกเดินทางจากเมืองอะไร	เมืองเซาแทมป์ตัน ประเทศสหราชอาณาจักร	เซาแทมป์ตัน|เซาแธมป์ตัน
